method,seed,outer_fold,params,inner_mrr
A6_gbm_fusion,0,3,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4833
A6_gbm_fusion,0,3,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.4781
A6_gbm_fusion,0,3,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4784
A6_gbm_fusion,0,3,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.4791
A6_gbm_fusion,0,3,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4782
A6_gbm_fusion,0,3,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.4859
A6_gbm_fusion,0,3,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.4915
A6_gbm_fusion,0,3,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.4574
A6_gbm_fusion,0,3,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.4703
A6_gbm_fusion,0,3,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4951
A6_gbm_fusion,0,3,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4812
A6_gbm_fusion,0,3,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.4917
A6_gbm_fusion,0,3,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4841
A6_gbm_fusion,0,3,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.4614
A6_gbm_fusion,0,3,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4939
A6_gbm_fusion,0,3,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.4508
A6_gbm_fusion,0,3,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.1}",0.3698
A6_gbm_fusion,0,4,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4989
A6_gbm_fusion,0,4,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.5004
A6_gbm_fusion,0,4,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.5036
A6_gbm_fusion,0,4,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4990
A6_gbm_fusion,0,4,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.5078
A6_gbm_fusion,0,4,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4726
A6_gbm_fusion,0,4,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.5111
A6_gbm_fusion,0,4,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.5007
A6_gbm_fusion,0,4,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.4437
A6_gbm_fusion,0,4,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.5033
A6_gbm_fusion,0,4,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4818
A6_gbm_fusion,0,4,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4632
A6_gbm_fusion,0,4,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.5039
A6_gbm_fusion,0,4,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4854
A6_gbm_fusion,0,4,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.4610
A6_gbm_fusion,0,4,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4991
A6_gbm_fusion,0,4,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.4469
A6_gbm_fusion,0,4,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.1}",0.3970
A6_gbm_fusion,1,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4753
A6_gbm_fusion,1,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4724
A6_gbm_fusion,1,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.4719
A6_gbm_fusion,1,0,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4801
A6_gbm_fusion,1,0,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.4876
A6_gbm_fusion,1,0,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4823
A6_gbm_fusion,1,0,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.4834
A6_gbm_fusion,1,0,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.5041
A6_gbm_fusion,1,0,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.4310
A6_gbm_fusion,1,0,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.4877
A6_gbm_fusion,1,0,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4760
A6_gbm_fusion,1,0,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4742
A6_gbm_fusion,1,0,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.4923
A6_gbm_fusion,1,0,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4831
A6_gbm_fusion,1,0,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.4695
A6_gbm_fusion,1,0,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4929
A6_gbm_fusion,1,0,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.4493
A6_gbm_fusion,1,0,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.1}",0.4044
A6_gbm_fusion,1,1,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4620
A6_gbm_fusion,1,1,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4673
A6_gbm_fusion,1,1,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.4699
A6_gbm_fusion,1,1,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4782
A6_gbm_fusion,1,1,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.4741
A6_gbm_fusion,1,1,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4759
A6_gbm_fusion,1,1,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.4701
A6_gbm_fusion,1,1,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.4680
A6_gbm_fusion,1,1,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.4171
A6_gbm_fusion,1,1,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.4728
A6_gbm_fusion,1,1,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4661
A6_gbm_fusion,1,1,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4445
A6_gbm_fusion,1,1,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.4839
A6_gbm_fusion,1,1,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4464
A6_gbm_fusion,1,1,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.4528
A6_gbm_fusion,1,1,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4788
A6_gbm_fusion,1,1,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.3690
A6_gbm_fusion,1,1,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.1}",0.3087
A6_gbm_fusion,1,2,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4252
A6_gbm_fusion,1,2,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4328
A6_gbm_fusion,1,2,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.4284
A6_gbm_fusion,1,2,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4391
A6_gbm_fusion,1,2,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.4373
A6_gbm_fusion,1,2,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4471
A6_gbm_fusion,1,2,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.4444
A6_gbm_fusion,1,2,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.4421
A6_gbm_fusion,1,2,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.3966
A6_gbm_fusion,1,2,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.4364
A6_gbm_fusion,1,2,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4438
A6_gbm_fusion,1,2,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4245
A6_gbm_fusion,1,2,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.4451
A6_gbm_fusion,1,2,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4352
A6_gbm_fusion,1,2,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.4006
A6_gbm_fusion,1,2,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4517
A6_gbm_fusion,1,2,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.3633
A6_gbm_fusion,1,2,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.1}",0.3021
A6_gbm_fusion,1,3,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4873
A6_gbm_fusion,1,3,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4862
A6_gbm_fusion,1,3,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.4915
A6_gbm_fusion,1,3,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4821
A6_gbm_fusion,1,3,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.4931
A6_gbm_fusion,1,3,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4757
A6_gbm_fusion,1,3,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.4962
A6_gbm_fusion,1,3,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.4868
A6_gbm_fusion,1,3,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.4444
A6_gbm_fusion,1,3,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.4925
A6_gbm_fusion,1,3,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4975
A6_gbm_fusion,1,3,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4627
A6_gbm_fusion,1,3,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.4934
A6_gbm_fusion,1,3,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4843
A6_gbm_fusion,1,3,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.4692
A6_gbm_fusion,1,3,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.5023
A6_gbm_fusion,1,3,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.4374
A6_gbm_fusion,1,3,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.1}",0.3610
A6_gbm_fusion,1,4,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4571
A6_gbm_fusion,1,4,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4633
A6_gbm_fusion,1,4,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.4565
A6_gbm_fusion,1,4,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4385
A6_gbm_fusion,1,4,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.4559
A6_gbm_fusion,1,4,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4609
A6_gbm_fusion,1,4,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.4501
A6_gbm_fusion,1,4,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.4416
A6_gbm_fusion,1,4,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.4185
A6_gbm_fusion,1,4,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.4611
A6_gbm_fusion,1,4,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4574
A6_gbm_fusion,1,4,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4280
