cell_id,S1_oriental,S2_warm,S3_wftub,S4_idf,S9_tie,S11_eval,N_star,MRR_order1,MRR_order2,MRR_order3,MRR_order4,MRR_order5,MRR_order6,rq1_significant
C83,map,drop,wf,products_query,optimistic,ALL,2,0.5438,0.5927,0.5976,0.5948,0.5969,0.5969,1
C84,map,drop,wf,products_query,optimistic,NON_OP,2,0.4762,0.5211,0.5189,0.5260,0.5296,0.5296,1
C85,map,drop,floral,products,pessimistic,ALL,2,0.5081,0.5671,0.5681,0.5784,0.5783,0.5784,1
C86,map,drop,floral,products,pessimistic,NON_OP,2,0.4470,0.5094,0.5053,0.5103,0.5101,0.5101,1
C87,map,drop,floral,products,average,ALL,2,0.5130,0.5743,0.5753,0.5857,0.5857,0.5858,1
C88,map,drop,floral,products,average,NON_OP,2,0.4497,0.5124,0.5084,0.5136,0.5133,0.5133,1
C89,map,drop,floral,products,optimistic,ALL,2,0.5182,0.5816,0.5827,0.5932,0.5932,0.5932,1
C90,map,drop,floral,products,optimistic,NON_OP,2,0.4525,0.5154,0.5116,0.5172,0.5169,0.5169,1
C91,map,drop,floral,products_query,pessimistic,ALL,2,0.5310,0.5762,0.5785,0.5777,0.5798,0.5798,1
C92,map,drop,floral,products_query,pessimistic,NON_OP,2,0.4702,0.5146,0.5118,0.5197,0.5232,0.5232,1
C93,map,drop,floral,products_query,average,ALL,2,0.5368,0.5848,0.5880,0.5862,0.5883,0.5883,1
C94,map,drop,floral,products_query,average,NON_OP,2,0.4731,0.5178,0.5152,0.5228,0.5263,0.5263,1
C95,map,drop,floral,products_query,optimistic,ALL,2,0.5430,0.5935,0.5976,0.5948,0.5969,0.5969,1
C96,map,drop,floral,products_query,optimistic,NON_OP,2,0.4762,0.5211,0.5189,0.5260,0.5296,0.5296,1
