p_idx,product,q_idx,query,len_Ap,len_Aq,contained,subseq,prefix
202,Ruby Red,144,Noir Tom Ford,4,10,0,0,0
305,Na Or Ya,145,Nomade — Chloé,5,10,1,1,1
179,Ombredesire,146,Nouveau Monde Louis Vuitton,5,10,1,0,0
131,Champion Man,147,N°1 de Chanel L’Eau Rouge Chanel,5,10,1,1,1
195,Pixie Petals,148,Olympéa Flora Rabanne / Paco Rabanne,4,10,1,1,1
285,Tokyo 2020,149,Olympéa — Rabanne,5,10,1,1,1
159,Black Ford,150,Ombré Leather (2018) Tom Ford,5,9,1,0,0
150,Forest,151,Omnia Green Jade Bvlgari,5,10,1,1,1
225,Collector's Edition,152,Oriental — Zara,5,10,0,0,0
183,Monarca,153,Oud & Bergamot Jo Malone London,4,5,1,0,0
187,Musk Oud,154,Oud & Musc Cartier,5,5,0,0,0
132,Silky Pink,155,Oud Silk Mood Maison Francis Kurkdjian,5,9,1,1,0
180,Oudhi,156,Oud Wood Tom Ford,5,10,1,1,1
2,Secret of Bandit,157,Penhaligon's Terrible Teddy,5,7,1,1,1
333,Golden Dust,158,Phantom — Rabanne,5,10,0,0,0
147,Road Spice,159,Philosykos Eau de Toilette Diptyque,5,6,1,1,1
323,Timber,160,Pitbull Man — Pitbull,5,10,1,1,1
263,Lovin You,161,Pleasures — Estée Lauder,5,8,1,1,1
155,Man in Green,162,Polo Ralph Lauren / Polo Green,5,10,1,0,0
229,Born to Shine,163,Popcorn — Demeter Fragrance,5,3,0,0,0
214,Candy Night,164,Prada Candy — Prada,5,8,0,0,0
121,Popular,165,Romantic Victoria’s Secret,5,5,1,0,0
206,Green Steam,166,Rose des Vents Louis Vuitton,5,10,1,0,0
204,Charmile,167,Rose Noir Byredo,5,9,1,0,0
201,Truly,168,Roses Musk Montale,3,5,1,0,0
209,Seven San,169,Roses Vanille Mancera,5,8,1,0,0
205,Marveiles,170,Rouge Hermès Hermès,5,10,1,1,1
212,Waka-Waka,171,S by Shakira — Shakira,5,7,1,1,1
90,Vagabond,172,Sauvage Dior for men,5,9,1,1,1
5,Moz Art,173,Scandal Pour Homme by Jean Paul Gaultier,5,8,1,0,0
267,The Master,174,Secret Wish Magic Romance — Anna Sui,5,10,1,0,0
309,Fornine,175,Seduction in Black — Antonio Banderas,5,10,1,1,1
270,Insider,176,Sergio Tacchini Donna — Sergio Tacchini,5,9,1,1,1
299,Glamour Glam,177,Signorina — Salvatore Ferragamo,5,8,1,1,1
210,Celindion Sensation,178,Spell On You Louis Vuitton,5,9,1,0,0
255,Flower Mag,179,Splendida Magnolia Sensuel — Bvlgari,5,8,1,1,1
280,Ana Sweet,180,Sui Dreams — Anna Sui,5,10,1,1,1
218,Goo Squid,181,Sì — Giorgio Armani,5,10,1,1,1
230,Calypso,182,Tease Candy Noir — Victoria’s Secret,5,9,1,1,1
153,Gracias Garden,183,Terre d’Hermès Hermès for men,5,6,1,1,1
220,Guci Gold,184,"Thank U, Next — Ariana Grande",5,6,1,1,1
275,CR Seven,185,The Island — Voyage à Rodrigues,5,9,0,0,0
151,Mighty,186,The Matcha 26 Le Labo,3,8,1,0,0
339,Dhuga Light,187,Tobacco Oud — Tom Ford,5,10,1,0,0
335,tobacco,188,Tobacco Vanille — Tom Ford,5,8,1,1,1
251,Twicy,189,Twilly d’Hermès — Hermès,5,9,0,0,0
331,Haleef,190,Un Jardin Sur Le Nil — Hermès,5,10,0,0,0
279,Sauve Kiss,191,Vanilla Lace — Victoria’s Secret,4,5,1,1,1
274,Choc Choco,192,Vanilla Latte — So...?,5,10,0,0,0
278,Ice Cream,193,Vanilla Sundae Victoria's Secret,4,5,1,0,0
276,Mady Girl,194,Vanilla — The Body Shop,2,9,1,1,1
297,You So Lovely,195,Velvet Fantasy — Montale,5,10,1,0,0
199,White Luxury,196,Versace Pour Femme Dylan Purple,5,10,1,1,0
306,Senyasen,197,Vibrant Leather Eau de Parfum — Zara,5,6,0,0,0
320,Shine Review,197,Vibrant Leather Eau de Parfum — Zara,5,6,0,0,0
286,One Sixty,198,VIP Black Red — Carolina Herrera,5,10,1,0,0
13,Pentavenue,199,Vodka on the Rocks by Kilian,5,10,1,0,0
154,Haystack,200,Wanted Eau de Parfum Azzaro,4,10,0,0,0
337,Satnight,201,Weekend for Men — Burberry,5,7,0,0,0
171,Blue Black,202,White Musk The Body Shop,5,8,1,0,0
245,Days Girl,203,Wild Bluebell — Jo Malone London,5,7,0,0,0
164,Fiori Leys,204,Wild Leather Mancera,5,10,1,1,1
228,Queen Flowers,205,Wild Rose — Avril Lavigne,5,8,1,1,1
72,Bamboo Cici,206,Y Eau de Parfum Yves Saint Laurent for men,5,10,1,0,0
106,D sava,207,Zara Black Amber Zara,5,10,0,0,0
